Function Points,FP Normalized,Development Type,Project Elapsed Time,time normalized,Effort,effort normalized
1587,3.2005769268,1,4,0.6020599913,7490,3.8744818177
176,2.2455126678,1,26,1.414973348,3348,3.5247854493
46,1.6627578317,2,6,0.7781512504,344,2.5365584426
184,2.264817823,2,22,1.3424226808,1950,3.2900346114
77,1.8864907252,1,,,1099,3.0409976924
64,1.806179974,2,7,0.84509804,252,2.4014005408
130,2.1139433523,2,6,0.7781512504,770,2.8864907252
779,2.8915374577,1,26,1.414973348,3377,3.5285310606
1523,3.1826999033,2,28,1.4471580313,61891,4.7916274998
82,1.9138138524,1,,,545,2.7363965023
125,2.096910013,2,25,1.3979400087,840,2.9242792861
4562,3.6591552809,1,15,1.1760912591,26408,4.4217355113
477,2.678518379,2,6,0.7781512504,2741,3.4379090355
275,2.4393326938,2,9,0.9542425094,702,2.8463371121
288,2.4593924878,1,7,0.84509804,3840,3.5843312244
58,1.7634279936,2,10,1,1040,3.0170333393
32,1.5051499783,2,3,0.4771212547,352,2.5465426635
171,2.2329961104,1,,,273,2.436162647
226,2.3541084391,2,10,1,2508,3.3993275322
578,2.7619278384,1,,,5134,3.7104558643
172,2.2355284469,2,5,0.6989700043,1788,3.2523675145
338,2.5289167003,1,24,1.3802112417,2340,3.3692158574
820,2.9138138524,2,11,1.0413926852,2552,3.40688067
75,1.8750612634,1,6,0.7781512504,720,2.8573324964
1703,3.231214648,2,8,0.903089987,8549,3.9319153171
226,2.3541084391,1,7,0.84509804,915,2.9614210941
116,2.0644579892,2,10,1,1939,3.2875778091
125,2.096910013,1,,,513,2.7101173651
558,2.7466341989,1,6,0.7781512504,4112,3.614053106
212,2.3263358609,2,15,1.1760912591,1690,3.2278867046
223,2.348304863,1,,,3023,3.4804381472
151,2.1789769473,1,,,1035,3.0149403498
144,2.1583624921,1,,,4380,3.6414741105
86,1.9344984512,1,,,419,2.622214023
2906,3.46329561,1,12,1.079181246,37320,4.5719416351
231,2.3636119799,2,12,1.079181246,3762,3.5754187912
330,2.5185139399,1,10,1,1050,3.0211892991
502,2.7007037171,1,14,1.1461280357,9296,3.968296115
280,2.4471580313,2,7,0.84509804,1417,3.1513698502
499,2.6981005456,2,10,1,2310,3.3636119799
517,2.7134905431,2,6,0.7781512504,711,2.8518696007
171,2.2329961104,1,,,2853,3.4553017717
487,2.6875289612,2,6,0.7781512504,1017,3.0073209529
846,2.927370363,1,13,1.1139433523,16179,4.208951675
51,1.7075701761,2,3,0.4771212547,338,2.5289167003
213,2.3283796034,2,7,0.84509804,2185,3.3394514413
